file	condition	replicate	day
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR82.h5	Safe-Harbor	rep1	1
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR83.h5	Safe-Harbor	rep2	1
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR97.h5	Safe-Harbor	rep1	2
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR87.h5	10-mer	rep4	1
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR86.h5	10-mer	rep3	2
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR95.h5	10-mer	rep1	2
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR96.h5	10-mer	rep2	2
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR84.h5	13-mer	rep1	1
gs://sw-gro-crispri-ctcf/rnaseq/sg4/MR85.h5	13-mer	rep2	1
