file	condition	replicate	day
Jurkat_Safe_Harbor_rep1.h5	Safe-Harbor	rep1	1
Jurkat_Safe_Harbor_rep2.h5	Safe-Harbor	rep2	1
Jurkat_Safe_Harbor_rep3.h5	Safe-Harbor	rep3	2
Jurkat_sg4_rep1.h5	10-mer	rep1	1
Jurkat_sg4_rep2.h5	10-mer	rep2	2
Jurkat_sg4_rep3.h5	10-mer	rep1	3
Jurkat_sg4_rep4.h5	10-mer	rep2	4
