file	condition	replicate	day
Jurkat_Safe_Harbor_rep1.h5	Safe-Harbor	rep1	1
Jurkat_Safe_Harbor_rep2.h5	Safe-Harbor	rep2	1
Jurkat_sg8_rep1.h5	10-mer	rep1	1
Jurkat_sg8_rep2.h5	10-mer	rep2	2
