file	condition	replicate	day
a375_Safe_Harbor_rep1.h5	Safe-Harbor	rep1	1
a375_Safe_Harbor_rep2.h5	Safe-Harbor	rep2	1
a375_20nt_rep1.h5	20-mer	rep1	1
a375_20nt_rep2.h5	20-mer	rep2	1
a375_g9nt_rep1.h5	10-mer	rep1	1
a375_g9nt_rep2.h5	10-mer	rep2	1
